,count,mean,min,25%,50%,75%,max,std
start_time,9,2025-03-20T11:41:06.666,2025-01-09T17:30:00.000,2025-02-09T03:15:00.000,2025-03-09T13:20:00.000,2025-05-09T07:15:00.000,2025-07-09T19:30:00.000,
end_time,9,2025-03-27T06:44:26.666,2025-01-09T17:30:00.000,2025-02-09T17:25:00.000,2025-03-09T14:00:00.000,2025-05-09T07:15:00.000,2025-07-09T21:15:00.000,
latency_min,9,1970-01-01T00:00:00.000,1970-01-01T00:00:00.000,1970-01-01T00:00:00.000,1970-01-01T00:00:00.000,1970-01-01T00:00:00.000,1970-01-01T00:00:00.000,0
true_len_min,9,1970-01-01T00:00:00.009,1970-01-01T00:00:00.000,1970-01-01T00:00:00.000,1970-01-01T00:00:00.000,1970-01-01T00:00:00.000,1970-01-01T00:00:00.044,19370.77115140231
